Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
555 Eighth Avenue,,Let's Poke,Sloyer-Forman,Manhattan,1600,,,Hudson Yards,01/09/2018,Alexander Karas,"Mark Tergesen, Dean Valentino",Retail Leasing,02/06/2018,Winick Realty Group,ABS Partners Real Estate,,,
267 Metropolitan Avenue,,Mathnasium,271 Metropolitan LLC,Brooklyn,1500,,,Williamsburg,01/09/2018,,"Keat Chew, Harrison Balisky, Aaron Lee",Retail Leasing,01/09/2018,,EXR Realty,,,
267 Metropolitan Avenue,,Mathnasium,271 Metropolitan LLC,Brooklyn,1500,,,Williamsburg,01/09/2018,,"Keat Chew, Harrison Balisky, Aaron Lee",Retail Leasing,02/06/2018,,EXR,,,
2047 Broadway,,Pokebab,HOWJO Associates,Manhattan,952,,,Upper West Side,01/08/2018,Jin Choi,Brad Schwarz,Retail Leasing,01/09/2018,PD Properties,Lee & Associates NYC,,,
26 Wilson Avenue,,Wilson 26,Neillson Holdings,Brooklyn,500,,,Bushwick,01/08/2018,,,Retail Leasing,02/06/2018,,,,,
26 Wilson Avenue,,Wilson 26,Neillson Holdings,Brooklyn,500,,,Bushwick,01/08/2018,,,Retail Leasing,02/13/2018,,,,,
240-246 West 35th Street,,Cafe Metro,ATCO Properties & Management,Manhattan,5181,,,Garment District,01/04/2018,"Stu Morden, Lucas Kooyman",John Cinosky,Retail Leasing,01/09/2018,Newmark Knight Frank,ATCO Brokerage Services,,,
180 Ninth Avenue,,Art2o Lifestyle Cafe,Chelsea Cottage Corp.,Manhattan,1750,,,Chelsea,01/04/2018,Elba Diaz,William Abramson,Retail Leasing,01/09/2018,Buchbinder & Warren Realty Group,Buchbinder & Warren Realty Group,,,
27 Prince Street,,Bulletin,27 Prince St LLC,Manhattan,480,,,Nolita,01/01/2018,Evan Clements & Fritz Kemerling,,Retail Leasing,05/15/2018,The Dartmouth Company,,,,
5100 Kings Plaza,,Burlington Coat Factory,Macerich Company,Brooklyn,55000,,,Mill Basin,12/28/2017,,,Retail Leasing,01/09/2018,,,,,
793 Utica Avenue,,Value Tax,793 Utica Properties,Brooklyn,400,,,East Flatbush,12/28/2017,Damien Andrews,,Retail Leasing,01/09/2018,Tri State Commercial Realty,,,,
40 Tenth Avenue,,Genesis,"Aurora Capital Associates, William Gottlieb Real Estate",Manhattan,40000,,,Meatpacking,12/27/2017,,,Retail Leasing,01/09/2018,,,,,
410 Nostrand Avenue,,Pantora Inc.,246 Quincey St LLC,Brooklyn,1800,,,Bedford-Stuyvesant,12/27/2017,Chandler Slate,,Retail Leasing,01/09/2018,Tri State Commercial Realty,Tri State Commercial Realty,,,
10-29 48th Avenue,,Sanidas Academy,LIC 48 Avenue,Queens,1250,,,Long Island City,12/26/2017,,"Ashley Grebow, Edward DiTomasso, Evan Daniel",Retail Leasing,01/09/2018,,Modern Spaces,,,
2923 3rd Avenue,,Kicks USA,MLM Partners of 3rd Avenue,Bronx,4500,,,Melrose,12/21/2017,Josh Augenbaum,Michael J. Katz,Retail Leasing,01/09/2018,Augenbaum Realty,Kasin Management,,,
119 West 23rd Street,,Humming Puppy,Stellar Management,Manhattan,7300,,,Chelsea,12/15/2017,Stephan Brenot,Jonathan Bernstein,Retail Leasing,12/18/2017,Rice & Associates,JBA Real Estate,,,
1611 Second Avenue,,Bua Thai Ramen and Robata Grill,Chatsworth Advisors,Manhattan,2200,,,Yorkville,12/15/2017,,"James Wacht, Richard Kave",Retail Leasing,12/18/2017,,Lee & Associates NYC,,,
1410 Cortelyou Road,,Douglas Elliman Real Estate,1410 Cortelyou Partners LLC,Brooklyn,1800,,,Flatbush,12/15/2017,"Peter Gross, Louis Puopolo",Eddie Mamiye,Retail Leasing,12/18/2017,Douglas Elliman Real Estate,RKF,,,
333 Johnson Avenue,,Citibike,333 Johnson Property Holdings,Brooklyn,18890,,,East Williamsburg,12/14/2017,Andrew Clemens,Andrew Clemens,Retail Leasing,12/18/2017,Ripco Real Estate,Ripco Real Estate,,,
5024 5th Avenue,,Blink Fitness,EMKAY,Brooklyn,3000,,,Sunset Park,12/14/2017,"Andrew Clemens, Kyle Irwin","Andrew Clemens, Kyle Irwin",Retail Leasing,12/18/2017,Ripco Real Estate,Ripco Real Estate,,,
408 Utica Avenue,,Precision Cuts,Utica Ventures,Brooklyn,1200,,,Crown Heights,12/14/2017,Damien Andrews,,Retail Leasing,12/18/2017,Tri State Commercial Realty,,,,
621 Nostrand Avenue,,Tribeca Pediatrics,INK Crown,Brooklyn,800,,,Crown Heights,12/14/2017,Andrew Clemens,"Ben Weiner, Kyle Irwin",Retail Leasing,12/18/2017,Ripco Real Estate,Ripco Real Estate,,,
450 West 33rd Street,,Starbucks,Brookfield Property Partners,Manhattan,2379,,,Hudson Yards,12/11/2017,David Firestein,"Michael Goldban, Mark Kostic",Retail Leasing,12/18/2017,SCG Retail,Brookfield Property Partners,,,
300 Livingston Street,,Dépanneur,TF Cornerstone,Brooklyn,1820,,,Downtown Brooklyn,12/11/2017,"Andrew Clemens, Ben Weiner","Steve Gonzalez; Steven Baker, Aaron Fishbein, Daniyel Cohen",Retail Leasing,12/18/2017,Ripco Real Estate,"TF Cornerstone, Winick Realty Group",,,
4 Columbus Circle,,Starbucks,Steelcase,Manhattan,1600,,,Midtown West,12/11/2017,David Firestein,Amy Zhen,Retail Leasing,12/18/2017,SCG Retail,JLL,,,
2521 Broadway,,Starbucks,Related Companies,Manhattan,1171,,,Upper West Side,12/11/2017,David Firestein,"Bennett Green, Frederick Knapp, Weber Hudson",Retail Leasing,12/18/2017,SCG Retail,Related Companies,,,
300 Livingston Street,,Dépanneur,TF Cornerstone,Brooklyn,1051,,,Downtown Brooklyn,12/11/2017,"Andrew Clemens, Ben Weiner","Steve Gonzalez; Steven Baker, Aaron Fishbein, Daniyel Cohen",Retail Leasing,12/18/2017,Ripco Real Estate,"TF Cornerstone, Winick Realty Group",,,
943 Second Avenue,,Starbucks,Solow Management,Manhattan,1000,,,Midtown East,12/11/2017,David Firestein,"Steven Weymouth, Sheldon Solow",Retail Leasing,12/18/2017,SCG Retail,Solow Management,,,
180 Third Avenue,,Westside Market,Solil Management,Manhattan,5000,,,Gramercy,12/08/2017,,Brett Weinblatt,Retail Leasing,12/12/2017,Westside Market,Solil Management,,,
200 East 125th Street,,Burger King,Parcel C GP,Manhattan,3280,,,East Harlem,12/07/2017,,Mark Tergesen,Retail Leasing,12/12/2017,,ABS Partners Real Estate,,,
200 East 125th Street,,Pharmacy,Parcel C GP,Manhattan,2000,,,East Harlem,12/07/2017,,Mark Tergesen,Retail Leasing,12/12/2017,,ABS Partners Real Estate,,,
170 West 23rd Street,,Westside Market,Jack Resnick & Sons,Manhattan,8000,,,Chelsea,12/06/2017,Craig N. Slosberg,"Fran Delgorio, Brett Greenberg",Retail Leasing,12/12/2017,Newmark Knight Frank,Jack Resnick & Sons,,,
31 Wyckoff Avenue,,Kicopi 31,Champ Restaurant & Equipment City,Brooklyn,2442,,,Bushwick,12/06/2017,,Max Lu,Retail Leasing,12/12/2017,Kicopi 31,M Properties Group,,,
31 Cornelia Street,,MACC Hospitality,SW Management,Manhattan,800,,,West Village,12/06/2017,"James Famularo, Ravi Idnani",Avi Akiva,Retail Leasing,12/12/2017,Eastern Consolidated,Kassin Sabbagh Realty,,,
384 Broome Street,,Green Street Super Foods,BCD Broome,Manhattan,700,,,Nolita,12/06/2017,Scott Schubiner,Jeffrey Angel,Retail Leasing,12/12/2017,DHA Capital,RES Commercial Corp,,,
483 Broadway,,TJX Companies,"Aurora Capital Associates, Adjmi Family",Manhattan,18000,,,Soho,12/04/2017,Richard Skulnik,,Retail Leasing,12/12/2017,Ripco Real Estate,,,,
107 West 20th Street,,BRRRN,United American Land,Manhattan,2500,,,Chelsea,11/30/2017,"Lena Roth, Jonathan Burke",Jack Laboz,Retail Leasing,12/04/2017,JW Burke & Company,United American Land Company,,,
1003 Second Avenue,,New York Sun and Tan Spa,Vic's Hole in One,Manhattan,2600,,,Midtown East,11/29/2017,"James Famularo, Ravi Idnani, Kevin Bisconti",,Retail Leasing,12/04/2017,Eastern Consolidated,,,,
55 West 14th Street,,Metro PCS,Milford Management,Manhattan,750,,,Chelsea,11/29/2017,"James Famularo, Ravi Idnani",Gary Alterman,Retail Leasing,12/04/2017,Eastern Consolidated,RKF,,,
1695 Broadway,,Hen Penny Chicken,Broadway Sky,Manhattan,2250,,,Midtown,11/28/2017,"Brandon Singer, Michael Cody","Michael Kadosh, Jesse Wolff",Retail Leasing,12/04/2017,Cushman & Wakefield,CBRE,,,
1691 Broadway,,Neapolitan Express,Broadway Sky,Manhattan,600,,,Midtown,11/28/2017,"Brandon Singer, Michael Cody","Michael Kadosh, Jesse Wolff",Retail Leasing,12/04/2017,Cushman & Wakefield,CBRE,,,
70-72 Reade Street,,Kiddie Academy,ML7,Manhattan,13500,,,Tribeca,11/27/2017,"Timothy G. Pond, Matthew Kucker, Jordan Baruch","Andrew Stern, Scott Zinovoy",Retail Leasing,12/04/2017,Colliers International,RKF,,,
120 West 42nd Street,,Privé Revaux Eyewear,Callahan Capital Partners,Manhattan,5396,,,Midtown,11/27/2017,"David Abrams, Pierce Thompson",Matt Ogle,Retail Leasing,12/04/2017,RKF,JLL,,,
66 Front Street,,Dumbo Market,Two Trees Management,Brooklyn,16000,,,DUMBO,11/17/2017,Jason Gerbsman,Bonnie Campbell,Retail Leasing,11/20/2017,HUDSON,Two Trees Management,,,
1535 Broadway,,Levi's,Vornado Realty Trust,Manhattan,17250,,,Midtown,11/16/2017,Laura Pomerantz,,Retail Leasing,11/20/2017,Cushman & Wakefield,,,,
38-01 Queens Boulevard,,Regal Entertainment Group,"Curbcut Urban Partners, Platinum Realty, RW Real Estate Group",Queens,38000,,,Sunnyside,11/15/2017,"Harris Reichenbaum, Peter Ripka","Harris Reichenbaum, Peter Ripka",Retail Leasing,11/20/2017,Ripco Real Estate,Ripco Real Estate,,,
600 East 138th Street,,Dollar Zone,Srour Partners,Bronx,18000,,,North New York,11/15/2017,"Avi Akiva, Solomon Sharaby",Avi Akiva,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
2 West Fordham Road,,Save A Thon,Solil Management,Bronx,6500,,,University Heights,11/15/2017,"Marc Sitt, Albert Manopla","Marc Sitt, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
774 Broadway,,Kicks USA,Srour Partners,Manhattan,4500,,,East Village,11/15/2017,Michael Katz,"Avi Akiva, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
425 Seventh Avenue,,Carl's Jr.,DK China,Manhattan,4400,,,Midtown South,11/15/2017,"Avi Akiva, Albert Manopla","Avi Akiva, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
248 West 35th Street,,Gogi,Srour Partners,Manhattan,4000,,,Midtown South,11/15/2017,Richard Smith,"Avi Akiva, Albert Manopla",Retail Leasing,11/20/2017,Winick Realty Group,Kassin Sabbagh Realty,,,
1169 Liberty Avenue,,Modern MD,Fabco Enterprises,Brooklyn,2500,,,City Line,11/15/2017,"Marc Sitt, Albert Manopla","Marc Sitt, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
4-14 West 125th Street,,City Mall,Steve Matri,Manhattan,2500,,,South Harlem,11/15/2017,Solomon Sharaby,,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,,,,
5302 5th Avenue,,Modern MD,Fabco Enterprises,Brooklyn,2000,,,Sunset Park,11/15/2017,"Marc Sitt, Albert Manopla","Marc Sitt, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
64 East 34th Street,,Masala King Caterers,Jemstone Group,Manhattan,1800,,,Midtown South,11/15/2017,Meyer Tawil,"Marc Sitt, Meyer Tawil, Jordan Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
115-11 Liberty Avenue,,ThoSoo Optical Shop,Masta Group,Queens,1800,,,Richmond Hill,11/15/2017,"Avi Akiva, Jordan Raphan","Avi Akiva, Jordan Raphan",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
295 Madison Avenue,,Dill and Parsley,Ertez Realty,Manhattan,1800,,,Murray Hill,11/15/2017,"Marc Sitt, Albert Manopla",Richard Smith,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Winick Realty Group,,,
115-09 Liberty Avenue,,Neighborhood Enterprise,Masta Group,Queens,1800,,,Richmond Hill,11/15/2017,"Avi Akiva, Jordan Raphan","Avi Akiva, Jordan Raphan",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
1007 Southern Boulevard,,Athlete Kicks,Jovada Realty,Bronx,1700,,,Longwood,11/15/2017,"David Green, Marc Sitt","David Green, Marc Sitt",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
148 West 125th Street,,Exclusive Footage,Hilton Garden Inn,Manhattan,1660,,,South Harlem,11/15/2017,"Marc Sitt, Albert Manopla","Marc Sitt, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
2363 Adam Clayton Boulevard,,Regular's Smoked Meat House,Big City Realty,Manhattan,1500,,,Harlem,11/15/2017,"Marc Sitt, Sholom Kanevsky","Marc Sitt, Sholom Kanevsky",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
171 Lenox Avenue,,Uptown Cellar,Daniel Group,Manhattan,1300,,,South Harlem,11/15/2017,,Avi Akiva,Retail Leasing,11/20/2017,,Kassin Sabbagh Realty,,,
9 Times Square,,Poke Signature,AR Global,Manhattan,1200,,,Midtown,11/15/2017,David Green,,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,RKF,,,
2 East 167th Street,,Pharmacy,Chestnut Holdings,Bronx,1100,,,Concourse,11/15/2017,"Jack Khaski, Albert Manopla",,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,,,,
250 West 78th Street,,Perfect Brows,Beach Lane,Manhattan,1100,,,Upper West Side,11/15/2017,"David S. Green, Albert Manopla","David S. Green, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
145 Greene Street,,Van Leeuwen's Ice Cream,Ashkenazy Acquisition,Manhattan,1000,,,Soho,11/15/2017,Avi Akiva,Avi Akiva,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
359 West 45th Street,,Bird & Branch,West 9th LLC,Manhattan,1000,,,Hell's Kitchen,11/15/2017,Gary Lowitt,,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,West 9th LLC,,,
120 Norman Avenue,,Woops BakeShop,TST Norman Corp,Brooklyn,1000,,,Greenpoint,11/15/2017,Gary Lowitt,,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,,,,
5923 Riverdale Avenue,,MetroPCS,Chestnut Holdings,Bronx,1000,,,Riverdale,11/15/2017,"Jack Khaski, Albert Manopla, David Green",,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,,,,
155 West 27th Street,,Espresso Matto,Justin Management,Manhattan,1000,,,Chelsea,11/15/2017,Meyer Tawil,,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Justin Management,,,
293 Mercer Street,,Espresso Matto,Jakobson Properties,Manhattan,1000,,,Greenwich Village,11/15/2017,Meyer Tawil,Ian Zimmerman,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Winick Realty Group,,,
22 Maiden Lane,,Kati Roll,Solil Management,Manhattan,1000,,,Financial District,11/15/2017,"Jack Khaski, Albert Manopla","Jack Khaski, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
501 Seventh Avenue,,Poke,Empire State Realty Trust,Manhattan,1000,,,Midtown South,11/15/2017,"Jack Khaski, Albert Manopla",,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,,,,
985 First Avenue,,Saba Pizza,Solil Management,Manhattan,1000,,,Sutton Place,11/15/2017,"Jack Khaski, David Green, Albert Manopla","Jack Khaski, David Green, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
124 Second Avenue,,The Dumpling Shop,SW Management,Manhattan,1000,,,East Village,11/15/2017,Avi Akiva,"Avi Akiva, Albert Manopla, Yoni Hadar",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
31 Cornelia Street,,Drunken Munkey,SW Management,Manhattan,1000,,,West Village,11/15/2017,Ravi Idnani,"Avi Avika, Albert Manopla, Yoni Hadar",Retail Leasing,11/20/2017,Eastern Consolidated,Kassin Sabbagh Realty,,,
42 West Fordham Road,,Boost Mobile,Triad Management,Bronx,900,,,University Heights,11/15/2017,"David Green, Albert Manopla","David Green, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
1625 Westchester Avenue,,MetroPCS,893 Shepherd Avenue LLC,Bronx,900,,,Soundview,11/15/2017,David Green,David Green,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
1000 South Eighth Avenue,,Chick N Cone,Urbanspace,Manhattan,800,,,Hell's Kitchen,11/15/2017,"Avi Akiva, Jack Hanon","Avi Akiva, Jack Hanon",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
38 West Fordham Road,,Perfect Brows,Triad Management,Bronx,800,,,University Heights,11/15/2017,"David S. Green, Albert Manopla","David S. Green, Albert Manopla",Retail Leasing,11/20/2017,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
1343 Ogden Avenue,,MetroPCS,Chestnut Holdings,Bronx,700,,,Highbridge,11/15/2017,"Jack Khaski, Albert Manopla, David Green",,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,,,,
1343 Ogden Avenue,,Barber,Chestnut Holdings,Bronx,500,,,Highbridge,11/15/2017,"Jack Khaski, Albert Manopla",,Retail Leasing,11/20/2017,Kassin Sabbagh Realty,,,,
679 Van Sinderen Avenue,,Dollar Tree,Van Sinderen Housing Development Fund Corp.,Brooklyn,10000,,,Brownsville,11/14/2017,"Esther Bukai, Harris Reichenbaum",David Rosenberg,Retail Leasing,11/20/2017,Ripco Real Estate,RKF,,,
340 Junius Avenue,,Dollar Tree,"Bj 1368 Ventures, LLC",Brooklyn,9900,,,Brownsville,11/14/2017,Esther Bukai,Nissim Kassab,Retail Leasing,11/20/2017,Ripco Real Estate,Commercial Acquisitions,,,
19-80 Steinway Street,,Dollar Tree,"1980 Steinway, LLC",Queens,9889,,,Astoria,11/14/2017,Richard Senior,Joe Italiander and Mark Tergesen,Retail Leasing,11/20/2017,Ripco Real Estate,ABS Partners Real Estate,,,
1709 Eastern Parkway,,Dollar Tree,"1760 Eastern, LLC",Brooklyn,9800,,,East New York,11/14/2017,"Miles Mahony, Esther Bukai, Richard Senior",Harris Reichenbaum,Retail Leasing,11/20/2017,Ripco Real Estate,Ripco Real Estate,,,
817 Van Siclen Avenue,,Dollar Tree,"Borough Realty Holdings, LLC",Brooklyn,9800,,,East New York,11/14/2017,"Esther Bukai, Miles Mahony, Richard Senior","Esther Bukai, Miles Mahony, Richard Senior",Retail Leasing,11/20/2017,Ripco Real Estate,Ripco Real Estate,,,
1253 Utica Avenue,,Dollar Tree,"1249 Utica, LLC",Brooklyn,9500,,,East Flatbush,11/14/2017,"Esther Bukai, Richard Senior, Miles Mahony","Esther Bukai, Richard Senior, Miles Mahony",Retail Leasing,11/20/2017,Ripco Real Estate,Ripco Real Estate,,,
808 Columbus Avenue,,Kindercare Education,808 Columbus LLC,Manhattan,8501,,,Upper West Side,11/14/2017,Robert Bonicoro,"Kelly Gedinsky, Ross Burack",Retail Leasing,11/20/2017,CBRE,Winick Realty Group,,,
2130 Adam Clayton Boulevard,,Phenix Salon Suites,"2130 ACP Boulevard Investors, LLC",Manhattan,5100,,,Central Harlem,11/14/2017,David Townes,"Jason Pennington, Jessica Hedrington",Retail Leasing,11/20/2017,Ripco Real Estate,Ripco Real Estate,,,
1450 Broadway,,Pringles,1450 Broadway LLC,Manhattan,3215,,,Midtown,11/14/2017,"Danielle Winick, Jason Berkley","Danielle Winick, Jason Berkley",Retail Leasing,11/20/2017,Winick Realty Group,Winick Realty Group,,,
2992 3rd Avenue,,Diamond Braces,"Related Retail HUB, LLC",Bronx,2990,,,Woodstock,11/14/2017,"Chris Walther, Richard Senior","Chris Walther, Richard Senior",Retail Leasing,11/20/2017,Ripco Real Estate,Ripco Real Estate,,,
7 East 19th Street,,Scanlan Theodore,Seveneast 19 LLC,Manhattan,2500,,,Flatiron,11/14/2017,,"Mark Tergesen, Jennifer Bernstein",Retail Leasing,11/20/2017,,ABS Partners Real Estate,,,
1731 Pitkin Avenue,,Step Up Ortho & Shoe Supply Co.,Silvershore Properties,Brooklyn,2380,,,Brownsville,11/14/2017,"Mike Drummey, Andrew Clemens","Mike Drummey, Andrew Clemens",Retail Leasing,11/20/2017,Ripco Real Estate,Ripco Real Estate,,,
300 Livingston Street,,Déppanneur,33 Bond St. LLC,Brooklyn,1810,,,Downtown Brooklyn,11/14/2017,"Andrew Clemens, Ben Weiner","Steven E. Baker, Aaron S. Fishbein, Daniyel Cohen",Retail Leasing,11/20/2017,Ripco Real Estate,Winick Realty Group,,,
9 Barrow Street,,Barrow West Village,Lowell Associates,Manhattan,1750,,,West Village,11/14/2017,Charles Rapuano,"Dean Valentino, Mark Tergesen, Michael Sass",Retail Leasing,11/20/2017,Winick Realty Group,ABS Real Estate Partners,,,
4102 Avenue U,,First National Bank of Long Island,CVS Pharmacy,Brooklyn,1650,,,Homecrest,11/14/2017,"Joanne Argenti, Greg Batista","Richard Senior, David Goldschmidt",Retail Leasing,11/20/2017,Ripco Real Estate,Ripco Real Estate,,,
599 Flatbush Avenue,,Malo's Pizza,611 Flatbush Avenue Management,Brooklyn,1630,,,Prospect-Lefferts Gardens,11/14/2017,"Alexander Karas, Cary Fabrikant","Alexander Karas, Cary Fabrikant",Retail Leasing,11/20/2017,Winick Realty Group,Winick Realty Group,,,
507 Myrtle Avenue,,Maahes,507 Myrtle LLC,Brooklyn,900,,,Clinton Hill,11/14/2017,"Yoel Gorjian, Kenneth Hochhauser","Yoel Gorjian, Kenneth Hochhauser",Retail Leasing,11/20/2017,Winick Realty Group,Winick Realty Group,,,
31 East 17th Street,,Kellogg's NYC,Standard Realty Associates,Manhattan,5000,,,Flatiron,11/13/2017,"Mark Tergesen, Jennifer Bernstein",,Retail Leasing,11/20/2017,ABS Partners Real Estate,Standard Realty Associates,,,
264 West 35th Street,,SLICED,494 Eighth Avenue LLC,Manhattan,650,,,Midtown South,11/13/2017,Moshe Pinsky,"Brad Cohen, Jon Kamali",Retail Leasing,11/20/2017,Douglas Elliman Real Estate,Eastern Consolidated,,,
96 Spring Street,,Alo Yoga,Midwood Investment and Development,Manhattan,11000,,,Soho,11/10/2017,Alissa Bersin,"Joel Isaacs, David Baker, Josh Lewin",Retail Leasing,11/13/2017,McDevitt Company,Isaacs and Company,,,
42-44 Grand Street,,Ben's Garden,42 Grand LLC,Manhattan,2450,,,Soho,11/10/2017,"Faith Hope Consolo, Arthur Maglio","Faith Hope Consolo, Arthur Maglio",Retail Leasing,11/13/2017,Douglas Elliman Real Estate,Douglas Elliman Real Estate,,,
530 Fifth Avenue,,Vans,"Thor Equities, General Growth Partners, RXR Realty",Manhattan,8573,,,Midtown,11/09/2017,,,Retail Leasing,11/13/2017,,,,,
1277 Third Avenue,,The Shoe Box,Peter Franco,Manhattan,3600,,,Upper East Side,11/08/2017,"Gregory Tannor, Corey Horowitz",Allan Glasser,Retail Leasing,11/13/2017,Lee & Associates,Glasser Realty,,,
206 East 86th Street,,Baked by Melissa,Perlbinder Realty,Manhattan,500,,,Upper East Side,11/07/2017,"Joseph Isa, Louis Franco","Joseph Isa, Louis Franco",Retail Leasing,11/13/2017,Isa Realty Group,Isa Realty Group,,,
473 West Broadway,,House of Anita Dongre,473 West Broadway LLC,Manhattan,6800,,,Soho,11/06/2017,"Manu Pohani, Pavan M. Uttam","Sarah Shannon, Chris Owles, Lior Mei-Tal",Retail Leasing,11/13/2017,UP Real Estate Advisors,Sinvin Real Estate,,,
452 West Broadway,,Larny,Thor Equities,Manhattan,2000,,,SoHo,11/06/2017,"Joanne Podell, Aylin Gucalp","Chris Owles, Margie Sarway",Retail Leasing,11/13/2017,Cushman & Wakefield,Sinvin Real Estate,,,
958 Lexington Avenue,,AYR,136 East 70 LLC,Manhattan,1000,,,Lenox Hill,11/06/2017,"Faith Hope Consolo, Corey Shuster",,Retail Leasing,11/13/2017,Douglas Elliman Real Estate,RKF,,,
1184 Madison Avenue,,KES NYC,25 East 86th Street Corporation,Manhattan,550,,,Upper East Side,11/06/2017,Eric Piazza,Beth Rosen,Retail Leasing,11/13/2017,DJK Commercial Realty,RKF,,,
4043 Broadway,,Popular Community Bank,IG Greenpoint Corporation,Manhattan,1900,,,Washington Heights,11/03/2017,Josh Augenbaum,Cory Zelnik,Retail Leasing,11/06/2017,Augenbaum Realty,Zelnik & Company,,,
230 East 44th Street,,Zaika Food Company,44th Street Mid-Town Holdings,Manhattan,4420,,,Turtle Bay,11/02/2017,,Jeffrey Angel,Retail Leasing,11/06/2017,,RES Commercial Corp,,,
43 Clinton Street,,Cafe Grind,St Clark's Properties,Manhattan,500,,,Lower East Side,11/02/2017,,Jeffrey Angel,Retail Leasing,11/06/2017,,RES Commercial Corp,,,
6002 Fort Hamilton Parkway,,Hamilton Hospitality Group,Fort Hamilton Group,Brooklyn,6000,,,Kensington,11/1/2017,Lip Fei Jiang,"Joshua Singer, Stephen Weber",Retail Leasing,5/1/2018,Chibeca Real Estate,Heller Organization,,,
622 Degraw Street,,Kick Axe Throwing,A Shamosh Realty,Brooklyn,7000,,,Gowanus,10/31/2017,"Michael Cohen, Eddie Mamiye","Jacob Tzfanya, Alex Geisinger, Brad Cohen, Jon Kamali",Retail Leasing,11/06/2017,RKF,Eastern Consolidated,,,
515 Ninth Avenue,,Bar Gonzo,Assa Properties,Manhattan,4000,,,Hudson Yards,10/30/2017,,,Retail Leasing,11/06/2017,,,,,
375 West Broadway,,Gucci,Pearlmark Real Estate Partners,Manhattan,10700,,,Soho,10/27/2017,Robin Zendell,"Beth Rosen, Jackie Totolo, Robert Cohen",Retail Leasing,10/30/2017,Robin Zendell,RKF,,,
830 Broadway,,Ricky's NYC,SL Green Realty,Manhattan,2600,,,East Village,10/27/2017,Oded Nachmani,"Mark Utreras, Jeffrey Roseman",Retail Leasing,11/06/2017,Warwick Capital Management,Newmark Knight Frank,,,
230 Vesey Street,,Untuckit,Brookfield Property Partners,Manhattan,2370,,,Battery Park City,10/27/2017,"Michael O'Neill, Taylor Reynolds, Jason Greenstone","Michael Goldban, Mark Kostic",Retail Leasing,10/30/2017,Cushman & Wakefield,Brookfield Property Partners,,,
437 Fifth Avenue,,Pret A Manger,Joseph P. Day Realty,Manhattan,2300,,,Midtown South,10/26/2017,"Michael Paster, Ariel Schuster, Jaclyn Totolo","Amira Yunis, Anthony Stanford",Retail Leasing,10/30/2017,RKF,CBRE,,,
