,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm
51,597 Fifth Avenue,,Club Monaco,Thor Equities,Manhattan,"13,000",,,Plaza District,11/08/2019,"Robert Cohen, Peter Whitenack",,Retail Leasing,11/08/2019,Newmark Knight Frank,Thor Equities
52,541 West 25th Street,,LAVAN 541,L&L Holdings,Manhattan,"5,654",,,Chelsea,11/08/2019,Ken Lerner,Harrison Abramowitz,Retail Leasing,11/08/2019,Okada & Company,Newmark Knight Frank
53,445 Fifth Avenue,,Nirvanna Designs,445 Fifth Avenue,Manhattan,"18,371",,,Garment District,11/06/2019,Patty Holmstrom,Richard Gelber,Retail Leasing,12/13/2019,Winick Realty Group,RKF
54,2 Bank Street,,Quality Branded,Sky Management,Manhattan,"5,600",,,West Village,11/06/2019,Taryn Brandes,"Brad Schwarz, James Ficelman",Retail Leasing,11/08/2019,Brand Urban,Lee & Associates NYC
55,1634 Broadway,,Paul Gifts,The Shubert Organization,Manhattan,"1,860",,,Midtown West,11/06/2019,Richard Smith,Jeff Roseman,Retail Leasing,12/13/2019,Winick Realty Group,Newmark Knight Frank
56,833 Seventh Avenue,,NYC Souvenirs and Gifts,W 54-7,Manhattan,"1,445",,,Midtown West,11/05/2019,"Peter Botsaris, Nicholas Kalomeris",Josh Augenbaum,Retail Leasing,11/08/2019,Botsaris Morris Realty Group,Augenbaum Realty
57,240 West 40th Street,,PF Chang's To Go,240 W 40 LLC,Manhattan,"3,800",,,Garment District,11/04/2019,"Ariel Schuster, Mitch Heifetz","Richard Smith, Aaron Noorani",Retail Leasing,12/13/2019,RKF,Winick Realty Group
58,452 Amsterdam Avenue,,Vaness'a Dumplings,Hubb NYC,Manhattan,800,,,Upper West Side,11/04/2019,"Ben Biberaj, Isaac Bijou, James Famularo","Ben Biberaj, Isaac Bijou, James Famularo",Retail Leasing,11/08/2019,Meridian Capital,Meridian Capital
59,470 Third Avenue,,Natural ReLeaf,Murray Hill 32,Manhattan,393,,,Kips Bay,11/04/2019,Andi Dhamo,"Yoel Gorjian, Kenneth Hochhauser",Retail Leasing,12/13/2019,Sido New York,Winick Realty Group
60,285 Lafayette Street,,New York Public Library,Kushner Companies,Manhattan,"16,000",,,Central Harlem,11/01/2019,,,Retail Leasing,11/01/2019,,
61,135 West 50th Street,,Urbanspace,UB Realty Investors,Manhattan,"15,000",,,Midtown West,11/01/2019,Byrnam Wood,George Comfort & Sons,Retail Leasing,11/01/2019,"Gordon Ogden, Benjamin Mohr","Peter Duncan, Alexander Birmingham, Matt Coudert, Andrew Conrad"
62,87 Richardson Street,,Talea Beer,KND Management,Brooklyn,"10,000",,,Greenpoint,11/01/2019,"David Green, Josh Berkun",Josh Dolgin,Retail Leasing,11/29/2019,Kassin Sabbagh Realty,KND Management
63,1406 Saint Nicholas Avenue,,Popeye's,Milbrook Properties,Manhattan,"2,413",,,Washington Heights,11/01/2019,"Louis Franco, Joseph Isa","Louis Franco, Joseph Isa",Retail Leasing,11/08/2019,Isa Realty Group,Isa Realty Group
